library_type,academy,year,season,category,subject,author,dynasty
课题库,求志书院,十九年,春,算学,"○词章：飞云盖海赋以飞云盖海制非常模为韵；拟白香山《寓意诗》 五首；奇肱飞车、宛渠螺舟以上二题不拘体韵。(1879.6.22第2205号  第三版)",未知,清
课题库,求志书院,十九年,秋,算学,"上海求志书院己卯秋季题目",未知,清
课题库,求志书院,十九年,夏,算学,"○经学：其出也肆夏而送之解；朱白苍解；鲧字形声考；中兴之中 陆德明音丁仲反说。",未知,清
课题库,求志书院,十九年,夏,算学,"○史学：论赵普再相；论张齐贤以布衣献策；隐士陈抟、种放论； 宋置审刑院说。",未知,清
课题库,求志书院,十九年,夏,算学,"○掌故：文庙两庑从祀先儒位次考；文庙乐章考；修建城垣之法； 刑名钱谷何以知幕宾之贤。",未知,清
课题库,求志书院,十九年,夏,算学,"测圆海镜图，虚股为小差句弦较，虚句为大差股弦较，故虚股与 明句比，若小差形与平形比，即弦较较与句比，虚句与重股比，若大差 形与高形比，即弦较和与股比，试证其理；",未知,清
课题库,求志书院,十九年,夏,算学,"圆球积，自顶点过球心至底点凿一圆孔，令通，又令凿去之积得 球积二之一，有球径，求孔径；是题曩见新译《格致汇编》中，继思此 题，若以天元御之，即凿积得球积甲之乙，其孔径亦无不可求，试以元 演其开方式；",未知,清
课题库,求志书院,十九年,夏,算学,"诸乘方廉隅表，理精用富，能于开方法外推广其用否?",未知,清
课题库,求志书院,十九年,夏,算学,"K 三角面积，自顶至底作分积线，任分全积为二，命大分为全积甲 之乙，小分为全积甲之丙，有二边，求左乙、右丙，或右乙、左丙之各分 积线。",未知,清
课题库,求志书院,十九年,夏,算学,"○舆地：《中庸》华岳为二山、《孟子》江汉为一水考；齐鲁以山川 分界考；秦始通蜀辨；海道用师于古多效论。",未知,清
课题库,求志书院,十九年,秋,算学,"○词章：登蟾宫赋以众仙同日咏霓裳为韵；举孝、兴廉二题各四言诗 一首；中秋饼得圆字、重阳糕得高字二题各七律一首。(1879.10.22第 2327号第二版)",未知,清
课题库,求志书院,十九年,冬,算学,"上 海 求 志 书 院 己 卯 冬 季 题 目",未知,清
课题库,求志书院,十九年,冬,算学,"○经学题：立容辨卑解；文无犹言文不解；三苗三危考；鲧字形 声考。",未知,清
课题库,求志书院,十九年,冬,算学,"○史学题：王浚作筏去锥然炬断锁论；杜预镇襄阳饷遗洛中贵要 论；卞壶言王导亏法从私无大臣之节论；刘恢策桓温必克蜀其后必专 制朝廷论。",未知,清
课题库,求志书院,十九年,冬,算学,"◎掌故题：《通礼》载品官家庙均奉高曾祖祢四世，与经史所载品 官庙及所世数互异，其说若何?律例有三父八母服制图，后人又有五 父十三母之说，能举其义欤?昔人谓通晓海道全在罗经二十四位其 法安在?开煤矿说。",未知,清
课题库,求志书院,十九年,冬,算学,"平三角三边求积术，用代数证之最易，若用合比例明之，李氏《则 古昔斋或问》卷有图最善，能否申明其意，抑或别作图以明之?",未知,清
课题库,求志书院,十九年,冬,算学,"项梅侣氏句股边角相求，有术无解，姑取数题言之；有弦，有句股 较或和，求两角，法以弦与较或和比，若半直角正弦与半较角正弦或 余弦比；有句，有股弦较或和，求两角，法以句与较或和比，若半径与 股旁半角正切或与切比，盍即此四题而一一证之；",未知,清
课题库,求志书院,十九年,冬,算学,"设有甲乙二钟，甲钟能容酒或水九两，乙钟能容酒或水七两，酒 重水轻，姑不深计，若取甲钟注酒七两，乙钟注水五两，乃以甲钟倾人 乙钟令满，复以乙钟倾入甲钟令满，此后乙倾甲、甲倾乙如是迭倾，求 各钟内酒水各几何?能求得公式最善否?则姑即四倾演之；",未知,清
课题库,求志书院,十九年,冬,算学,"设有卯加一个大锤与二小锤，共系于杆之左端，又一大锤系于右 端，取杆之定点悬之，杆适平，复以卯减一个小锤与二大锤增系于左 端，一小锤增系于右端，而杆亦平，有大锤，求小锤，或有小锤，求 大锤。",未知,清
课题库,求志书院,十九年,冬,算学,"○舆地题：邗沟故道考；古蛮夷戎狄多在内地说；班志于汉郡称 秦置果尽然欤?赤畿望紧上中下说。",未知,清
课题库,求志书院,十九年,冬,算学,"○词章题：见霜知冰赋以圣人见霜而知冰为韵；冬笋七律四首，不限 韵；炒栗五古一首，不限韵；铜墨盒铭。(1879.12.30第2396号第三版)",未知,清
课题库,求志书院,十九年,春,算学,"上海求志书院庚辰(1880)春季题",未知,清
课题库,求志书院,十九年,春,算学,"○经学题：巽彝解；豆脯解；木桃木李解；席间函丈解。",未知,清
课题库,求志书院,十九年,春,算学,"○史学题：魏绛和戎五利论；晁错制边县以备敌论；司马光十科 取士法尚有可推广否?汉世乡亭之职其制若何?",未知,清
课题库,求志书院,十九年,春,算学,"○掌故题：富国说；富民说；盐法利弊；水雷制造之法。",未知,清
课题库,求志书院,十九年,春,算学,"有大小两弧之正余弦，求半较弧正弦，法以两弧之正弦相减，以  大弧倍正弦乘之于上，又以两弧之余弦相减，以大弧之倍余弦乘之， 以减上位，开平方半之，即得，试证之；",未知,清
课题库,求志书院,十九年,春,算学,"圆内容四小圆，法以大圆经幂倍之开平方，如大圆径为法，大圆 径自之为实，法除实得小圆径，试解其理；",未知,清
课题库,求志书院,十九年,春,算学,"圆内容五等边，有圆半径，求边，法以半径之三乘方五之为实，从 空半径自之，五之为负上廉，下廉空一正隅，开玲珑三乘方，即得，试 演细草；",未知,清
